name,type,start_time,duration,"mosi","miso"
"SPI","enable",2025-05-05T14:49:16.007842458+00:00,0.000000042,,
"SPI","disable",2025-05-05T14:49:16.008164292+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.036165833+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.037107667+00:00,0.000007542,0x10,0x00
"SPI","result",2025-05-05T14:49:16.037512458+00:00,0.000007542,0x00,0x24
"SPI","disable",2025-05-05T14:49:16.038007375+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.038400833+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.038490833+00:00,0.000007542,0x01,0x00
"SPI","result",2025-05-05T14:49:16.038761708+00:00,0.000007542,0x00,0x04
"SPI","disable",2025-05-05T14:49:16.039005708+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.039198000+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.039283208+00:00,0.000007542,0x81,0x00
"SPI","result",2025-05-05T14:49:16.039427750+00:00,0.000007542,0x04,0x04
"SPI","disable",2025-05-05T14:49:16.039526833+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.039583125+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.039717250+00:00,0.0000075,0x27,0x00
"SPI","result",2025-05-05T14:49:16.039917792+00:00,0.0000075,0x00,0x80
"SPI","disable",2025-05-05T14:49:16.041027583+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.041083917+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.041185833+00:00,0.000007542,0xBC,0x00
"SPI","result",2025-05-05T14:49:16.041335583+00:00,0.000007542,0x8F,0x0F
"SPI","disable",2025-05-05T14:49:16.041426125+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.041478708+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.041574000+00:00,0.000007542,0xEF,0x00
"SPI","result",2025-05-05T14:49:16.041731750+00:00,0.000007542,0x30,0x00
"SPI","disable",2025-05-05T14:49:16.041832583+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.041881042+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.041984333+00:00,0.000007542,0xDA,0x00
"SPI","result",2025-05-05T14:49:16.042126000+00:00,0.000007542,0x55,0x55
"SPI","disable",2025-05-05T14:49:16.042227333+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.042278417+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.042373167+00:00,0.000007542,0xDC,0x00
"SPI","result",2025-05-05T14:49:16.042531292+00:00,0.000007542,0x70,0x70
"SPI","disable",2025-05-05T14:49:16.042627000+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.042816042+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.042902792+00:00,0.000007542,0x2E,0x00
"SPI","result",2025-05-05T14:49:16.043072292+00:00,0.000007542,0x00,0x98
"SPI","disable",2025-05-05T14:49:16.043999625+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.044168167+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.044236000+00:00,0.000007542,0xAF,0x00
"SPI","result",2025-05-05T14:49:16.044469042+00:00,0.0000075,0x2D,0x00
"SPI","result",2025-05-05T14:49:16.044477042+00:00,0.000007542,0xD4,0x00
"SPI","disable",2025-05-05T14:49:16.044571500+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.044622833+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.044722583+00:00,0.000007542,0xAE,0x00
"SPI","result",2025-05-05T14:49:16.044867750+00:00,0.000007542,0x88,0x98
"SPI","disable",2025-05-05T14:49:16.044967250+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.045248375+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.045324125+00:00,0.000007542,0x82,0x00
"SPI","result",2025-05-05T14:49:16.045506667+00:00,0.000007542,0x01,0x00
"SPI","result",2025-05-05T14:49:16.045514667+00:00,0.000007542,0x00,0x1A
"SPI","result",2025-05-05T14:49:16.045522708+00:00,0.000007542,0x80,0x0B
"SPI","result",2025-05-05T14:49:16.045530750+00:00,0.000007542,0x10,0x00
"SPI","result",2025-05-05T14:49:16.045538792+00:00,0.0000075,0x00,0x52
"SPI","disable",2025-05-05T14:49:16.045609333+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.045627667+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.045727042+00:00,0.000007542,0x99,0x00
"SPI","result",2025-05-05T14:49:16.045877125+00:00,0.000007542,0xE0,0x86
"SPI","result",2025-05-05T14:49:16.045885167+00:00,0.000007542,0xE0,0x8A
"SPI","disable",2025-05-05T14:49:16.045985042+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.046027542+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.046131292+00:00,0.0000075,0xB7,0x00
"SPI","result",2025-05-05T14:49:16.046278250+00:00,0.000007542,0xD0,0x10
"SPI","disable",2025-05-05T14:49:16.046379833+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.046501542+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.046569458+00:00,0.000007542,0xAC,0x00
"SPI","result",2025-05-05T14:49:16.046724125+00:00,0.000007542,0x00,0x00
"SPI","disable",2025-05-05T14:49:16.046818958+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.046880875+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.046974250+00:00,0.000007542,0xAD,0x00
"SPI","result",2025-05-05T14:49:16.047124125+00:00,0.000007542,0x04,0x03
"SPI","disable",2025-05-05T14:49:16.047224000+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.047376625+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.047529708+00:00,0.000007542,0x87,0x00
"SPI","result",2025-05-05T14:49:16.047674833+00:00,0.000007542,0x6C,0xE4
"SPI","disable",2025-05-05T14:49:16.047902833+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.047939500+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.048047667+00:00,0.000007542,0x88,0x00
"SPI","result",2025-05-05T14:49:16.048184625+00:00,0.000007542,0x80,0xC0
"SPI","disable",2025-05-05T14:49:16.048284167+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.048347625+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.048434458+00:00,0.000007542,0x89,0x00
"SPI","result",2025-05-05T14:49:16.048584042+00:00,0.0000075,0x00,0x00
"SPI","disable",2025-05-05T14:49:16.048684375+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.048852125+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.048931750+00:00,0.000007542,0x3D,0x00
"SPI","result",2025-05-05T14:49:16.049071833+00:00,0.000007542,0x00,0x02
"SPI","disable",2025-05-05T14:49:16.050121250+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.050159833+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.050247542+00:00,0.000007542,0xBD,0x00
"SPI","result",2025-05-05T14:49:16.050395958+00:00,0.0000075,0x02,0x02
"SPI","disable",2025-05-05T14:49:16.050489625+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.050731958+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.050803250+00:00,0.000007542,0x91,0x00
"SPI","result",2025-05-05T14:49:16.050961292+00:00,0.0000075,0x9F,0x9F
"SPI","disable",2025-05-05T14:49:16.051055417+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.051118458+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.051202542+00:00,0.000007542,0x87,0x00
"SPI","result",2025-05-05T14:49:16.051354417+00:00,0.0000075,0xE4,0x6C
"SPI","disable",2025-05-05T14:49:16.051454250+00:00,0.000000042,,
"SPI","enable",2025-05-05T14:49:16.051506167+00:00,0.000000042,,
"SPI","result",2025-05-05T14:49:16.051604792+00:00,0.000007542,0x88,0x00
