name,type,start_time,duration,"mosi","miso"
"SPI","error",2025-02-04T16:32:35.623060383+00:00,0.001841667,,
"SPI","enable",2025-02-04T16:32:35.734648550+00:00,0.000000083,,
"SPI","disable",2025-02-04T16:32:35.764197217+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.764562883+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.765631633+00:00,0.000007583,0x10,0x00
"SPI","result",2025-02-04T16:32:35.766151217+00:00,0.000007583,0x00,0x24
"SPI","disable",2025-02-04T16:32:35.766363217+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.766570217+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.766641050+00:00,0.000007583,0x01,0x00
"SPI","result",2025-02-04T16:32:35.766786967+00:00,0.000007583,0x00,0x04
"SPI","disable",2025-02-04T16:32:35.767323550+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.767454467+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.767524967+00:00,0.000007583,0x81,0x00
"SPI","result",2025-02-04T16:32:35.767674883+00:00,0.000007583,0x04,0x04
"SPI","disable",2025-02-04T16:32:35.767777967+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.767824800+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.767925967+00:00,0.000007583,0x27,0x00
"SPI","result",2025-02-04T16:32:35.768070467+00:00,0.000007583,0x00,0x80
"SPI","disable",2025-02-04T16:32:35.768319050+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.768374133+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.768479467+00:00,0.000007583,0xBC,0x00
"SPI","result",2025-02-04T16:32:35.768623550+00:00,0.000007583,0x8F,0x0F
"SPI","disable",2025-02-04T16:32:35.768723133+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.768773217+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.768873300+00:00,0.000007583,0xEF,0x00
"SPI","result",2025-02-04T16:32:35.769023467+00:00,0.000007583,0x30,0x00
"SPI","disable",2025-02-04T16:32:35.769122800+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.769168967+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.769270883+00:00,0.000007583,0xDA,0x00
"SPI","result",2025-02-04T16:32:35.769418883+00:00,0.000007583,0x55,0x55
"SPI","disable",2025-02-04T16:32:35.769518133+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.769580883+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.769744217+00:00,0.000007583,0xDC,0x00
"SPI","result",2025-02-04T16:32:35.769989883+00:00,0.000007583,0x70,0x70
"SPI","disable",2025-02-04T16:32:35.770057383+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.770207717+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.770280967+00:00,0.000007583,0x2E,0x00
"SPI","result",2025-02-04T16:32:35.770428717+00:00,0.000007583,0x00,0x98
"SPI","disable",2025-02-04T16:32:35.771378717+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.771793633+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.771901633+00:00,0.000007583,0xAF,0x00
"SPI","result",2025-02-04T16:32:35.772346300+00:00,0.000007583,0x2D,0x00
"SPI","result",2025-02-04T16:32:35.772354300+00:00,0.000007583,0xD4,0x00
"SPI","disable",2025-02-04T16:32:35.772480800+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.772544383+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.772670050+00:00,0.000007583,0xAE,0x00
"SPI","result",2025-02-04T16:32:35.772813133+00:00,0.0000075,0x88,0x98
"SPI","disable",2025-02-04T16:32:35.772920717+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.773330800+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.773442633+00:00,0.000007583,0x82,0x00
"SPI","result",2025-02-04T16:32:35.773645633+00:00,0.000007583,0x01,0x00
"SPI","result",2025-02-04T16:32:35.773653717+00:00,0.000007583,0x00,0x1A
"SPI","result",2025-02-04T16:32:35.773661717+00:00,0.000007583,0x80,0x0B
"SPI","result",2025-02-04T16:32:35.773669717+00:00,0.000007583,0x10,0x00
"SPI","result",2025-02-04T16:32:35.773677800+00:00,0.000007583,0x00,0x52
"SPI","disable",2025-02-04T16:32:35.773759800+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.773808800+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.773920217+00:00,0.000007583,0x99,0x00
"SPI","result",2025-02-04T16:32:35.774088967+00:00,0.000007583,0xE0,0x86
"SPI","result",2025-02-04T16:32:35.774096967+00:00,0.000007583,0xE0,0x8A
"SPI","disable",2025-02-04T16:32:35.774191300+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.774242217+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.774325550+00:00,0.000007583,0xB7,0x00
"SPI","result",2025-02-04T16:32:35.774492300+00:00,0.000007583,0xD0,0x10
"SPI","disable",2025-02-04T16:32:35.774609467+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.774745467+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.774833717+00:00,0.000007583,0xAC,0x00
"SPI","result",2025-02-04T16:32:35.775012967+00:00,0.000007583,0x00,0x00
"SPI","disable",2025-02-04T16:32:35.775105633+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.775170467+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.775295467+00:00,0.000007583,0xAD,0x00
"SPI","result",2025-02-04T16:32:35.775435550+00:00,0.000007583,0x04,0x03
"SPI","disable",2025-02-04T16:32:35.775544133+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.775744717+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.775942467+00:00,0.000007583,0x87,0x00
"SPI","result",2025-02-04T16:32:35.776078717+00:00,0.000007583,0x6C,0xE4
"SPI","disable",2025-02-04T16:32:35.776298300+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.776462800+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.776581633+00:00,0.000007583,0x88,0x00
"SPI","result",2025-02-04T16:32:35.776734133+00:00,0.000007583,0x80,0xC0
"SPI","disable",2025-02-04T16:32:35.776835633+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.776883217+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.776988133+00:00,0.000007583,0x89,0x00
"SPI","result",2025-02-04T16:32:35.777120550+00:00,0.000007583,0x00,0x00
"SPI","disable",2025-02-04T16:32:35.777230217+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.777556300+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.777670717+00:00,0.000007583,0x3D,0x00
"SPI","result",2025-02-04T16:32:35.777857800+00:00,0.000007583,0x00,0x02
"SPI","disable",2025-02-04T16:32:35.778488633+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.778544550+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.778657300+00:00,0.000007583,0xBD,0x00
"SPI","result",2025-02-04T16:32:35.778813967+00:00,0.000007583,0x02,0x02
"SPI","disable",2025-02-04T16:32:35.778909467+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.779279217+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.779395550+00:00,0.000007583,0x91,0x00
"SPI","result",2025-02-04T16:32:35.779548300+00:00,0.000007583,0x9F,0x9F
"SPI","disable",2025-02-04T16:32:35.779649633+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.779795383+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.779895800+00:00,0.000007583,0x91,0x00
"SPI","result",2025-02-04T16:32:35.780046050+00:00,0.000007583,0x7F,0x9F
"SPI","disable",2025-02-04T16:32:35.780136967+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.780198967+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.780296133+00:00,0.000007583,0x87,0x00
"SPI","result",2025-02-04T16:32:35.780440383+00:00,0.000007583,0xE4,0x6C
"SPI","disable",2025-02-04T16:32:35.780527133+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.780579300+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.780677800+00:00,0.000007583,0x88,0x00
"SPI","result",2025-02-04T16:32:35.780817717+00:00,0.000007583,0xC0,0x80
"SPI","disable",2025-02-04T16:32:35.780923717+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.780973133+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.781088383+00:00,0.000007583,0x89,0x00
"SPI","result",2025-02-04T16:32:35.781222550+00:00,0.000007583,0x00,0x00
"SPI","disable",2025-02-04T16:32:35.781420633+00:00,0.000000083,,
"SPI","enable",2025-02-04T16:32:35.782955883+00:00,0.000000083,,
"SPI","result",2025-02-04T16:32:35.783148800+00:00,0.000007583,0x80,0x00
"SPI","result",2025-02-04T16:32:35.783300050+00:00,0.000007583,0x10,0x00
"SPI","result",2025-02-04T16:32:35.783515467+00:00,0.000007583,0xFF,0x10
"SPI","result",2025-02-04T16:32:35.783645383+00:00,0.0000075,0xFF,0x10
"SPI","result",2025-02-04T16:32:35.783795883+00:00,0.000007583,0x00,0x10
"SPI","result",2025-02-04T16:32:35.783939633+00:00,0.000007583,0x00,0x10
